element_id,centroid_x_mm,centroid_y_mm,centroid_z_mm,sample_voxels,bvtv,youngs_modulus_mpa,poissons_ratio,threshold
185,-202.683259,116.003001,-22.4975586,80,0,0,0.246,-441.003906
186,-155.256686,116.003001,-22.4975586,81,0,0,0.246,-441.003906
187,-107.830113,116.003001,-22.4975586,81,0,0,0.246,-441.003906
188,-60.4035395,116.003001,-22.4975586,80,0,0,0.246,-441.003906
189,-12.9769664,116.003001,-22.4975586,80,0,0,0.246,-441.003906
190,34.4496066,116.003001,-22.4975586,81,0,0,0.246,-441.003906
191,81.8761796,116.003001,-22.4975586,81,0,0,0.246,-441.003906
192,129.302752,116.003001,-22.4975586,80,0,0,0.246,-441.003906
193,-202.683259,-114.691755,41.0034179,80,0,0,0.246,-441.003906
194,-155.256686,-114.691755,41.0034179,81,1,8534.64,0.246,-441.003906
195,-107.830113,-114.691755,41.0034179,81,1,8534.64,0.246,-441.003906
196,-60.4035395,-114.691755,41.0034179,80,1,8534.64,0.246,-441.003906
197,-12.9769664,-114.691755,41.0034179,80,1,8534.64,0.246,-441.003906
198,34.4496066,-114.691755,41.0034179,81,1,8534.64,0.246,-441.003906
199,81.8761796,-114.691755,41.0034179,81,1,8534.64,0.246,-441.003906
200,129.302752,-114.691755,41.0034179,80,1,8534.64,0.246,-441.003906
201,-202.683259,-81.7353616,41.0034179,81,0,0,0.246,-441.003906
202,-155.256686,-81.7353616,41.0034179,81,1,8534.64,0.246,-441.003906
203,-107.830113,-81.7353616,41.0034179,81,0.024691358,20.4660259,0.246,-441.003906
204,-60.4035395,-81.7353616,41.0034179,81,0.0987654321,196.061041,0.246,-441.003906
205,-12.9769664,-81.7353616,41.0034179,81,1,8534.64,0.246,-441.003906
206,34.4496066,-81.7353616,41.0034179,81,0.12345679,282.068524,0.246,-441.003906
207,81.8761796,-81.7353616,41.0034179,81,0.024691358,20.4660259,0.246,-441.003906
208,129.302752,-81.7353616,41.0034179,81,1,8534.64,0.246,-441.003906
209,-202.683259,-48.7789678,41.0034179,83,0,0,0.246,-441.003906
210,-155.256686,-48.7789678,41.0034179,78,1,8534.64,0.246,-441.003906
211,-107.830113,-48.7789678,41.0034179,78,0.141025641,350.38143,0.246,-441.003906
212,-60.4035395,-48.7789678,41.0034179,83,0.855421687,6616.66314,0.246,-441.003906
213,-12.9769664,-48.7789678,41.0034179,83,1,8534.64,0.246,-441.003906
214,34.4496066,-48.7789678,41.0034179,78,0.115384615,252.630799,0.246,-441.003906
215,81.8761796,-48.7789678,41.0034179,78,0.0897435897,167.718438,0.246,-441.003906
216,129.302752,-48.7789678,41.0034179,83,0.927710843,7552.10115,0.246,-441.003906
217,-202.683259,-15.8225739,41.0034179,82,0.170731707,478.472879,0.246,-441.003906
218,-155.256686,-15.8225739,41.0034179,77,1,8534.64,0.246,-441.003906
219,-107.830113,-15.8225739,41.0034179,77,0.116883117,258.00054,0.246,-441.003906
220,-60.4035395,-15.8225739,41.0034179,82,1,8534.64,0.246,-441.003906
221,-12.9769664,-15.8225739,41.0034179,82,1,8534.64,0.246,-441.003906
222,34.4496066,-15.8225739,41.0034179,77,0.467532468,2471.60122,0.246,-441.003906
223,81.8761796,-15.8225739,41.0034179,77,0.012987013,7.18133729,0.246,-441.003906
224,129.302752,-15.8225739,41.0034179,82,0.109756098,232.854115,0.246,-441.003906
225,-202.683259,17.13382,41.0034179,82,0,0,0.246,-441.003906
226,-155.256686,17.13382,41.0034179,77,0,0,0.246,-441.003906
227,-107.830113,17.13382,41.0034179,77,0,0,0.246,-441.003906
228,-60.4035395,17.13382,41.0034179,82,1,8534.64,0.246,-441.003906
229,-12.9769664,17.13382,41.0034179,82,1,8534.64,0.246,-441.003906
230,34.4496066,17.13382,41.0034179,77,0,0,0.246,-441.003906
231,81.8761796,17.13382,41.0034179,77,1,8534.64,0.246,-441.003906
232,129.302752,17.13382,41.0034179,82,0,0,0.246,-441.003906
233,-202.683259,50.0902138,41.0034179,83,0,0,0.246,-441.003906
234,-155.256686,50.0902138,41.0034179,78,0,0,0.246,-441.003906
235,-107.830113,50.0902138,41.0034179,78,0.128205128,299.96529,0.246,-441.003906
236,-60.4035395,50.0902138,41.0034179,83,1,8534.64,0.246,-441.003906
237,-12.9769664,50.0902138,41.0034179,83,0.951807229,7874.4472,0.246,-441.003906
238,34.4496066,50.0902138,41.0034179,78,1,8534.64,0.246,-441.003906
239,81.8761796,50.0902138,41.0034179,78,0.474358974,2530.69504,0.246,-441.003906
240,129.302752,50.0902138,41.0034179,83,0,0,0.246,-441.003906
241,-202.683259,83.0466077,41.0034179,81,0,0,0.246,-441.003906
242,-155.256686,83.0466077,41.0034179,81,0,0,0.246,-441.003906
243,-107.830113,83.0466077,41.0034179,81,0,0,0.246,-441.003906
244,-60.4035395,83.0466077,41.0034179,81,0,0,0.246,-441.003906
245,-12.9769664,83.0466077,41.0034179,81,0,0,0.246,-441.003906
246,34.4496066,83.0466077,41.0034179,81,0,0,0.246,-441.003906
247,81.8761796,83.0466077,41.0034179,81,0,0,0.246,-441.003906
248,129.302752,83.0466077,41.0034179,81,0,0,0.246,-441.003906
249,-202.683259,116.003001,41.0034179,80,0,0,0.246,-441.003906
250,-155.256686,116.003001,41.0034179,81,0,0,0.246,-441.003906
251,-107.830113,116.003001,41.0034179,81,0,0,0.246,-441.003906
252,-60.4035395,116.003001,41.0034179,80,0,0,0.246,-441.003906
253,-12.9769664,116.003001,41.0034179,80,0,0,0.246,-441.003906
254,34.4496066,116.003001,41.0034179,81,0,0,0.246,-441.003906
255,81.8761796,116.003001,41.0034179,81,0,0,0.246,-441.003906
256,129.302752,116.003001,41.0034179,80,0,0,0.246,-441.003906
257,-202.683259,-114.691755,104.504395,80,0,0,0.246,-441.003906
258,-155.256686,-114.691755,104.504395,81,1,8534.64,0.246,-441.003906
259,-107.830113,-114.691755,104.504395,81,1,8534.64,0.246,-441.003906
260,-60.4035395,-114.691755,104.504395,80,1,8534.64,0.246,-441.003906
261,-12.9769664,-114.691755,104.504395,80,1,8534.64,0.246,-441.003906
262,34.4496066,-114.691755,104.504395,81,1,8534.64,0.246,-441.003906
263,81.8761796,-114.691755,104.504395,81,1,8534.64,0.246,-441.003906
264,129.302752,-114.691755,104.504395,80,1,8534.64,0.246,-441.003906
265,-202.683259,-81.7353616,104.504395,81,1,8534.64,0.246,-441.003906
266,-155.256686,-81.7353616,104.504395,81,1,8534.64,0.246,-441.003906
267,-107.830113,-81.7353616,104.504395,81,1,8534.64,0.246,-441.003906
268,-60.4035395,-81.7353616,104.504395,81,0.024691358,20.4660259,0.246,-441.003906
269,-12.9769664,-81.7353616,104.504395,81,1,8534.64,0.246,-441.003906
270,34.4496066,-81.7353616,104.504395,81,0,0,0.246,-441.003906
271,81.8761796,-81.7353616,104.504395,81,1,8534.64,0.246,-441.003906
272,129.302752,-81.7353616,104.504395,81,1,8534.64,0.246,-441.003906
273,-202.683259,-48.7789678,104.504395,83,1,8534.64,0.246,-441.003906
274,-155.256686,-48.7789678,104.504395,78,1,8534.64,0.246,-441.003906
275,-107.830113,-48.7789678,104.504395,78,0,0,0.246,-441.003906
276,-60.4035395,-48.7789678,104.504395,83,0.0722891566,117.889318,0.246,-441.003906
277,-12.9769664,-48.7789678,104.504395,83,0.903614458,7234.98734,0.246,-441.003906
278,34.4496066,-48.7789678,104.504395,78,0,0,0.246,-441.003906
279,81.8761796,-48.7789678,104.504395,78,0.461538462,2420.16001,0.246,-441.003906
280,129.302752,-48.7789678,104.504395,83,1,8534.64,0.246,-441.003906
281,-202.683259,-15.8225739,104.504395,82,0.207317073,656.59923,0.246,-441.003906
282,-155.256686,-15.8225739,104.504395,77,0.0519480519,68.7959878,0.246,-441.003906
283,-107.830113,-15.8225739,104.504395,77,0.0779220779,133.226882,0.246,-441.003906
284,-60.4035395,-15.8225739,104.504395,82,0.219512195,720.713755,0.246,-441.003906
285,-12.9769664,-15.8225739,104.504395,82,1,8534.64,0.246,-441.003906
286,34.4496066,-15.8225739,104.504395,77,0,0,0.246,-441.003906
287,81.8761796,-15.8225739,104.504395,77,1,8534.64,0.246,-441.003906
288,129.302752,-15.8225739,104.504395,82,1,8534.64,0.246,-441.003906
289,-202.683259,17.13382,104.504395,82,0,0,0.246,-441.003906
290,-155.256686,17.13382,104.504395,77,0,0,0.246,-441.003906
