element_id,centroid_x_mm,centroid_y_mm,centroid_z_mm,sample_voxels,bvtv,youngs_modulus_mpa,poissons_ratio,threshold
268,-60.4035395,-81.7353616,104.504395,81,0,0,0.246,300
269,-12.9769664,-81.7353616,104.504395,81,0,0,0.246,300
270,34.4496066,-81.7353616,104.504395,81,0,0,0.246,300
271,81.8761796,-81.7353616,104.504395,81,0.419753086,2073.31486,0.246,300
272,129.302752,-81.7353616,104.504395,81,0.419753086,2073.31486,0.246,300
273,-202.683259,-48.7789678,104.504395,83,0,0,0.246,300
274,-155.256686,-48.7789678,104.504395,78,0,0,0.246,300
275,-107.830113,-48.7789678,104.504395,78,0,0,0.246,300
276,-60.4035395,-48.7789678,104.504395,83,0,0,0.246,300
277,-12.9769664,-48.7789678,104.504395,83,0.0602409639,87.5808233,0.246,300
278,34.4496066,-48.7789678,104.504395,78,0,0,0.246,300
279,81.8761796,-48.7789678,104.504395,78,0,0,0.246,300
280,129.302752,-48.7789678,104.504395,83,0,0,0.246,300
281,-202.683259,-15.8225739,104.504395,82,0,0,0.246,300
282,-155.256686,-15.8225739,104.504395,77,0,0,0.246,300
283,-107.830113,-15.8225739,104.504395,77,0,0,0.246,300
284,-60.4035395,-15.8225739,104.504395,82,0,0,0.246,300
285,-12.9769664,-15.8225739,104.504395,82,1,8534.64,0.246,300
286,34.4496066,-15.8225739,104.504395,77,0,0,0.246,300
287,81.8761796,-15.8225739,104.504395,77,0.285714286,1107.52693,0.246,300
288,129.302752,-15.8225739,104.504395,82,0,0,0.246,300
289,-202.683259,17.13382,104.504395,82,0,0,0.246,300
290,-155.256686,17.13382,104.504395,77,0,0,0.246,300
291,-107.830113,17.13382,104.504395,77,0,0,0.246,300
292,-60.4035395,17.13382,104.504395,82,0,0,0.246,300
293,-12.9769664,17.13382,104.504395,82,0.353658537,1568.11303,0.246,300
294,34.4496066,17.13382,104.504395,77,0,0,0.246,300
295,81.8761796,17.13382,104.504395,77,0,0,0.246,300
296,129.302752,17.13382,104.504395,82,0,0,0.246,300
297,-202.683259,50.0902138,104.504395,83,0,0,0.246,300
